var1,var2,abs_corr
X14,X17,1.0
X3,X14,0.8251275628118969
X3,X17,0.8251275628118969
X14,X18,0.7794671076854135
X17,X18,0.7794671076854135
X6,X7,0.7516997251992723
X2,X16,0.7413996995003568
X3,X18,0.7389273983461764
X7,X8,0.7102616381952274
X4,X16,0.6950948265585846
X6,X8,0.6765546632474718
X10,X17,0.6755912295511718
X10,X14,0.6755912295511718
X1,X8,0.6676173902481878
X2,X4,0.6510545290354437
X2,X7,0.650853502754921
X9,X17,0.6487032224371643
X9,X14,0.6487032224371643
X1,X10,0.6376889476338464
X3,X10,0.6307054647131993
X10,X13,0.6292440646994887
X10,X16,0.6262067720966683
X2,X8,0.6206666927724621
X13,X17,0.6189990991462051
X13,X14,0.6189990991462051
